task_id,sweep,family,N,alpha,t,method,variant,j_star,w_small,out_dir,log_file
B_N_F0__F0__n2000000__a200__t10000000__ours__enum_sampling__B50000000__w512,B_N_F0,F0,2000000,200,10000000,ours,enum_sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/B_N_F0/B_N_F0__F0__n2000000__a200__t10000000__ours__enum_sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/logs/B_N_F0__F0__n2000000__a200__t10000000__ours__enum_sampling__B50000000__w512.log
B_N_F0__F0__n2000000__a200__t10000000__ours__sampling__B50000000__w512,B_N_F0,F0,2000000,200,10000000,ours,sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/B_N_F0/B_N_F0__F0__n2000000__a200__t10000000__ours__sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/logs/B_N_F0__F0__n2000000__a200__t10000000__ours__sampling__B50000000__w512.log
B_N_F0__F0__n2000000__a200__t10000000__ours__adaptive__B50000000__w512,B_N_F0,F0,2000000,200,10000000,ours,adaptive,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/B_N_F0/B_N_F0__F0__n2000000__a200__t10000000__ours__adaptive__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/logs/B_N_F0__F0__n2000000__a200__t10000000__ours__adaptive__B50000000__w512.log
B_N_F0__F0__n2000000__a200__t10000000__range_tree__enum_sampling__B50000000__w512,B_N_F0,F0,2000000,200,10000000,range_tree,enum_sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/B_N_F0/B_N_F0__F0__n2000000__a200__t10000000__range_tree__enum_sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/logs/B_N_F0__F0__n2000000__a200__t10000000__range_tree__enum_sampling__B50000000__w512.log
B_N_F0__F0__n2000000__a200__t10000000__range_tree__sampling__B50000000__w512,B_N_F0,F0,2000000,200,10000000,range_tree,sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/B_N_F0/B_N_F0__F0__n2000000__a200__t10000000__range_tree__sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/logs/B_N_F0__F0__n2000000__a200__t10000000__range_tree__sampling__B50000000__w512.log
B_N_F0__F0__n2000000__a200__t10000000__range_tree__adaptive__B50000000__w512,B_N_F0,F0,2000000,200,10000000,range_tree,adaptive,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/B_N_F0/B_N_F0__F0__n2000000__a200__t10000000__range_tree__adaptive__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/logs/B_N_F0__F0__n2000000__a200__t10000000__range_tree__adaptive__B50000000__w512.log
B_N_F0__F0__n2000000__a200__t10000000__kd_tree__sampling__B50000000__w512,B_N_F0,F0,2000000,200,10000000,kd_tree,sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/B_N_F0/B_N_F0__F0__n2000000__a200__t10000000__kd_tree__sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/logs/B_N_F0__F0__n2000000__a200__t10000000__kd_tree__sampling__B50000000__w512.log
B_N_F0__F0__n5000000__a200__t10000000__ours__enum_sampling__B50000000__w512,B_N_F0,F0,5000000,200,10000000,ours,enum_sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/B_N_F0/B_N_F0__F0__n5000000__a200__t10000000__ours__enum_sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/logs/B_N_F0__F0__n5000000__a200__t10000000__ours__enum_sampling__B50000000__w512.log
B_N_F0__F0__n5000000__a200__t10000000__ours__sampling__B50000000__w512,B_N_F0,F0,5000000,200,10000000,ours,sampling,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/B_N_F0/B_N_F0__F0__n5000000__a200__t10000000__ours__sampling__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/logs/B_N_F0__F0__n5000000__a200__t10000000__ours__sampling__B50000000__w512.log
B_N_F0__F0__n5000000__a200__t10000000__ours__adaptive__B50000000__w512,B_N_F0,F0,5000000,200,10000000,ours,adaptive,50000000,512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/B_N_F0/B_N_F0__F0__n5000000__a200__t10000000__ours__adaptive__B50000000__w512,/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/logs/B_N_F0__F0__n5000000__a200__t10000000__ours__adaptive__B50000000__w512.log
