task_id,sweep,family,N,alpha,t,method,variant,j_star,w_small,out_dir,log_file
E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B10000000__w256,E_budget_F0,F0,1000000,200,100000,ours,sampling,10000000,256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B10000000__w256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B10000000__w256.log
E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B10000000__w256,E_budget_F0,F0,1000000,200,100000,ours,adaptive,10000000,256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B10000000__w256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B10000000__w256.log
E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B10000000__w256,E_budget_F0,F0,1000000,200,100000,range_tree,sampling,10000000,256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B10000000__w256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B10000000__w256.log
E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B10000000__w256,E_budget_F0,F0,1000000,200,100000,range_tree,adaptive,10000000,256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B10000000__w256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B10000000__w256.log
E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B10000000__w512,E_budget_F0,F0,1000000,200,100000,ours,sampling,10000000,512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B10000000__w512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B10000000__w512.log
E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B10000000__w512,E_budget_F0,F0,1000000,200,100000,ours,adaptive,10000000,512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B10000000__w512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B10000000__w512.log
E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B10000000__w512,E_budget_F0,F0,1000000,200,100000,range_tree,sampling,10000000,512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B10000000__w512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B10000000__w512.log
E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B10000000__w512,E_budget_F0,F0,1000000,200,100000,range_tree,adaptive,10000000,512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B10000000__w512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B10000000__w512.log
E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B10000000__w1024,E_budget_F0,F0,1000000,200,100000,ours,sampling,10000000,1024,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B10000000__w1024,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B10000000__w1024.log
E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B10000000__w1024,E_budget_F0,F0,1000000,200,100000,ours,adaptive,10000000,1024,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B10000000__w1024,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B10000000__w1024.log
E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B10000000__w1024,E_budget_F0,F0,1000000,200,100000,range_tree,sampling,10000000,1024,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B10000000__w1024,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B10000000__w1024.log
E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B10000000__w1024,E_budget_F0,F0,1000000,200,100000,range_tree,adaptive,10000000,1024,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B10000000__w1024,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B10000000__w1024.log
E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B20000000__w256,E_budget_F0,F0,1000000,200,100000,ours,sampling,20000000,256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B20000000__w256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B20000000__w256.log
E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B20000000__w256,E_budget_F0,F0,1000000,200,100000,ours,adaptive,20000000,256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B20000000__w256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B20000000__w256.log
E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B20000000__w256,E_budget_F0,F0,1000000,200,100000,range_tree,sampling,20000000,256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B20000000__w256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B20000000__w256.log
E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B20000000__w256,E_budget_F0,F0,1000000,200,100000,range_tree,adaptive,20000000,256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B20000000__w256,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B20000000__w256.log
E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B20000000__w512,E_budget_F0,F0,1000000,200,100000,ours,sampling,20000000,512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B20000000__w512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__ours__sampling__B20000000__w512.log
E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B20000000__w512,E_budget_F0,F0,1000000,200,100000,ours,adaptive,20000000,512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B20000000__w512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__ours__adaptive__B20000000__w512.log
E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B20000000__w512,E_budget_F0,F0,1000000,200,100000,range_tree,sampling,20000000,512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B20000000__w512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__range_tree__sampling__B20000000__w512.log
E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B20000000__w512,E_budget_F0,F0,1000000,200,100000,range_tree,adaptive,20000000,512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/E_budget_F0/E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B20000000__w512,/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/logs/E_budget_F0__F0__n1000000__a200__t100000__range_tree__adaptive__B20000000__w512.log
