dataset,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
d2_F1_n1000000_a200_gs1,kd_tree,sampling,0,1,1000000,1000000,10000000,1,30546.7,3.98088e+08,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":200.315768,""build_points_ms"":198.488931,""phase1_count_ms"":10760.554231,""phase2_plan_ms"":933.325350,""phase3_fill_ms"":18634.483210,""run_build_ms"":200.319875,""run_count_ms"":10760.563037,""run_sample_ms"":19585.809430}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F1_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/D_family_F1/D_family_F1__F1__n1000000__a200__t10000000__kd_tree__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F1_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":203,""notes"":""alacarte-local alpha_expected_est=199.601 coverage=82.6023 pair_p_est=0.000399203 alpha_hat_est=203 epsilon_alpha=0.015 audit_pairs=2000000""}"
d2_F1_n1000000_a200_gs1,kd_tree,sampling,1,2,1000000,1000000,10000000,1,30618.8,3.98088e+08,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":195.647791,""build_points_ms"":195.377636,""phase1_count_ms"":10845.557266,""phase2_plan_ms"":933.363591,""phase3_fill_ms"":18623.511804,""run_build_ms"":195.649031,""run_count_ms"":10845.560415,""run_sample_ms"":19577.553148}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F1_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/D_family_F1/D_family_F1__F1__n1000000__a200__t10000000__kd_tree__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F1_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":203,""notes"":""alacarte-local alpha_expected_est=199.601 coverage=82.6023 pair_p_est=0.000399203 alpha_hat_est=203 epsilon_alpha=0.015 audit_pairs=2000000""}"
d2_F1_n1000000_a200_gs1,kd_tree,sampling,2,3,1000000,1000000,10000000,1,30580.8,3.98088e+08,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":197.496958,""build_points_ms"":197.227462,""phase1_count_ms"":10832.747529,""phase2_plan_ms"":931.055565,""phase3_fill_ms"":18599.909783,""run_build_ms"":197.497987,""run_count_ms"":10832.750967,""run_sample_ms"":19550.540023}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F1_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/D_family_F1/D_family_F1__F1__n1000000__a200__t10000000__kd_tree__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F1_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":203,""notes"":""alacarte-local alpha_expected_est=199.601 coverage=82.6023 pair_p_est=0.000399203 alpha_hat_est=203 epsilon_alpha=0.015 audit_pairs=2000000""}"
d2_F1_n1000000_a200_gs1,ours,adaptive,0,1,1000000,1000000,10000000,1,22467.3,3.98088e+08,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":210.122415,""build_events_ms"":422.266050,""build_ranks_ms"":666.669488,""build_y_domain_ms"":167.138074,""phase1_count_and_cache_ms"":13271.618643,""phase2_alias_ms"":63.756367,""phase2_fill_ms"":219.090991,""phase3_fill_residual_ms"":6167.330035,""run_build_ms"":1536.635243,""run_count_ms"":13271.625710,""run_sample_ms"":7659.061236}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F1_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/D_family_F1/D_family_F1__F1__n1000000__a200__t10000000__ours__adaptive__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F1_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":203,""notes"":""alacarte-local alpha_expected_est=199.601 coverage=82.6023 pair_p_est=0.000399203 alpha_hat_est=203 epsilon_alpha=0.015 audit_pairs=2000000""}"
d2_F1_n1000000_a200_gs1,ours,adaptive,1,2,1000000,1000000,10000000,1,20352.3,3.98088e+08,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":238.666955,""build_events_ms"":675.158974,""build_ranks_ms"":674.575884,""build_y_domain_ms"":164.294296,""phase1_count_and_cache_ms"":11316.457422,""phase2_alias_ms"":70.832369,""phase2_fill_ms"":191.592349,""phase3_fill_residual_ms"":4380.617852,""run_build_ms"":1830.730248,""run_count_ms"":11316.463469,""run_sample_ms"":5861.218437}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F1_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/D_family_F1/D_family_F1__F1__n1000000__a200__t10000000__ours__adaptive__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F1_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":203,""notes"":""alacarte-local alpha_expected_est=199.601 coverage=82.6023 pair_p_est=0.000399203 alpha_hat_est=203 epsilon_alpha=0.015 audit_pairs=2000000""}"
d2_F1_n1000000_a200_gs1,ours,adaptive,2,3,1000000,1000000,10000000,1,19788.8,3.98088e+08,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":53.480015,""build_events_ms"":715.078657,""build_ranks_ms"":661.167857,""build_y_domain_ms"":171.990088,""phase1_count_and_cache_ms"":10991.895409,""phase2_alias_ms"":51.302153,""phase2_fill_ms"":185.215497,""phase3_fill_residual_ms"":4415.947660,""run_build_ms"":1651.900998,""run_count_ms"":10991.901486,""run_sample_ms"":5856.099067}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F1_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/D_family_F1/D_family_F1__F1__n1000000__a200__t10000000__ours__adaptive__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F1_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":203,""notes"":""alacarte-local alpha_expected_est=199.601 coverage=82.6023 pair_p_est=0.000399203 alpha_hat_est=203 epsilon_alpha=0.015 audit_pairs=2000000""}"
d2_F1_n1000000_a200_gs1,ours,enum_sampling,0,1,1000000,1000000,10000000,1,16143.9,3.98088e+08,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":248.390553,""build_events_ms"":419.895475,""build_ranks_ms"":677.618363,""build_y_domain_ms"":167.158534,""phase1_enumerate_materialize_ms"":14450.065463,""phase2_resample_ms"":157.922361,""run_build_ms"":1535.884207,""run_count_ms"":14450.071780,""run_sample_ms"":157.926768}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F1_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/D_family_F1/D_family_F1__F1__n1000000__a200__t10000000__ours__enum_sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F1_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":203,""notes"":""alacarte-local alpha_expected_est=199.601 coverage=82.6023 pair_p_est=0.000399203 alpha_hat_est=203 epsilon_alpha=0.015 audit_pairs=2000000""}"
d2_F1_n1000000_a200_gs1,ours,enum_sampling,1,2,1000000,1000000,10000000,1,13431,3.98088e+08,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":54.657286,""build_events_ms"":719.387611,""build_ranks_ms"":666.173385,""build_y_domain_ms"":170.890698,""phase1_enumerate_materialize_ms"":10350.624313,""phase2_resample_ms"":159.189397,""run_build_ms"":1641.973041,""run_count_ms"":10350.630831,""run_sample_ms"":159.195265}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F1_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/D_family_F1/D_family_F1__F1__n1000000__a200__t10000000__ours__enum_sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F1_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":203,""notes"":""alacarte-local alpha_expected_est=199.601 coverage=82.6023 pair_p_est=0.000399203 alpha_hat_est=203 epsilon_alpha=0.015 audit_pairs=2000000""}"
d2_F1_n1000000_a200_gs1,ours,enum_sampling,2,3,1000000,1000000,10000000,1,13401,3.98088e+08,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":53.100304,""build_events_ms"":684.960713,""build_ranks_ms"":665.921971,""build_y_domain_ms"":163.004490,""phase1_enumerate_materialize_ms"":10362.271762,""phase2_resample_ms"":160.703121,""run_build_ms"":1583.266650,""run_count_ms"":10362.277778,""run_sample_ms"":160.708837}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F1_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/D_family_F1/D_family_F1__F1__n1000000__a200__t10000000__ours__enum_sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F1_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":203,""notes"":""alacarte-local alpha_expected_est=199.601 coverage=82.6023 pair_p_est=0.000399203 alpha_hat_est=203 epsilon_alpha=0.015 audit_pairs=2000000""}"
d2_F1_n1000000_a200_gs1,ours,sampling,0,1,1000000,1000000,10000000,1,11879.4,3.98088e+08,1,nan,nan,nan,0,0,0,,0,"{""build_active_indices_ms"":201.933229,""build_events_ms"":418.728149,""build_ranks_ms"":669.863749,""build_y_domain_ms"":167.148899,""phase1_count_ms"":4824.539116,""phase2_plan_ms"":1059.679363,""phase3_sample_ms"":4487.638880,""run_build_ms"":1490.343374,""run_count_ms"":4824.542854,""run_sample_ms"":5564.500253}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F1_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F1/d2_F1_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/D_family_F1/D_family_F1__F1__n1000000__a200__t10000000__ours__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F1_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":203,""notes"":""alacarte-local alpha_expected_est=199.601 coverage=82.6023 pair_p_est=0.000399203 alpha_hat_est=203 epsilon_alpha=0.015 audit_pairs=2000000""}"
