dataset,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
d2_F0_n1000000_a10000_gs1,kd_tree,sampling,0,1,1000000,1000000,1000000,1,40859.8,2.00832e+10,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":198.194529,""build_points_ms"":196.344072,""phase1_count_ms"":18485.425895,""phase2_plan_ms"":77.266050,""phase3_fill_ms"":22097.038220,""run_build_ms"":198.201439,""run_count_ms"":18485.430665,""run_sample_ms"":22176.182087}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a10000_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":1000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/F_high_alpha_F0/F_high_alpha_F0__F0__n1000000__a10000__t1000000__kd_tree__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a10000_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":10000,""alpha_achieved"":10026.8,""notes"":""alacarte-local alpha_expected_est=10039.5 coverage=4694.39 pair_p_est=0.0200789 alpha_hat_est=10026.8 epsilon_alpha=0.002675 audit_pairs=2000000""}"
d2_F0_n1000000_a10000_gs1,kd_tree,sampling,1,2,1000000,1000000,1000000,1,40747.8,2.00832e+10,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":196.612429,""build_points_ms"":196.342821,""phase1_count_ms"":18413.522167,""phase2_plan_ms"":73.631314,""phase3_fill_ms"":22063.872881,""run_build_ms"":196.613509,""run_count_ms"":18413.525597,""run_sample_ms"":22137.683665}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a10000_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":1000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/F_high_alpha_F0/F_high_alpha_F0__F0__n1000000__a10000__t1000000__kd_tree__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a10000_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":10000,""alpha_achieved"":10026.8,""notes"":""alacarte-local alpha_expected_est=10039.5 coverage=4694.39 pair_p_est=0.0200789 alpha_hat_est=10026.8 epsilon_alpha=0.002675 audit_pairs=2000000""}"
d2_F0_n1000000_a10000_gs1,kd_tree,sampling,2,3,1000000,1000000,1000000,1,40667.7,2.00832e+10,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":196.480458,""build_points_ms"":196.210980,""phase1_count_ms"":18375.754613,""phase2_plan_ms"":74.113142,""phase3_fill_ms"":22021.151150,""run_build_ms"":196.481468,""run_count_ms"":18375.758043,""run_sample_ms"":22095.444945}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a10000_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":1000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/F_high_alpha_F0/F_high_alpha_F0__F0__n1000000__a10000__t1000000__kd_tree__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a10000_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":10000,""alpha_achieved"":10026.8,""notes"":""alacarte-local alpha_expected_est=10039.5 coverage=4694.39 pair_p_est=0.0200789 alpha_hat_est=10026.8 epsilon_alpha=0.002675 audit_pairs=2000000""}"
d2_F0_n1000000_a10000_gs1,ours,adaptive,0,1,1000000,1000000,1000000,1,32138.5,2.00832e+10,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":244.101689,""build_events_ms"":424.712184,""build_ranks_ms"":665.056200,""build_y_domain_ms"":167.974834,""phase1_count_and_cache_ms"":30392.996343,""phase2_alias_ms"":55.161639,""phase2_fill_ms"":30.366866,""run_build_ms"":1574.894664,""run_count_ms"":30393.002683,""run_sample_ms"":170.573323}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a10000_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/F_high_alpha_F0/F_high_alpha_F0__F0__n1000000__a10000__t1000000__ours__adaptive__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a10000_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":10000,""alpha_achieved"":10026.8,""notes"":""alacarte-local alpha_expected_est=10039.5 coverage=4694.39 pair_p_est=0.0200789 alpha_hat_est=10026.8 epsilon_alpha=0.002675 audit_pairs=2000000""}"
d2_F0_n1000000_a10000_gs1,ours,adaptive,1,2,1000000,1000000,1000000,1,33448.9,2.00832e+10,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":52.934514,""build_events_ms"":513.967111,""build_ranks_ms"":660.657836,""build_y_domain_ms"":163.418452,""phase1_count_and_cache_ms"":30124.342444,""phase2_alias_ms"":55.394530,""phase2_fill_ms"":30.390903,""run_build_ms"":1430.408712,""run_count_ms"":30124.349593,""run_sample_ms"":166.905193}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a10000_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/F_high_alpha_F0/F_high_alpha_F0__F0__n1000000__a10000__t1000000__ours__adaptive__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a10000_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":10000,""alpha_achieved"":10026.8,""notes"":""alacarte-local alpha_expected_est=10039.5 coverage=4694.39 pair_p_est=0.0200789 alpha_hat_est=10026.8 epsilon_alpha=0.002675 audit_pairs=2000000""}"
d2_F0_n1000000_a10000_gs1,ours,adaptive,2,3,1000000,1000000,1000000,1,33477.8,2.00832e+10,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":53.015821,""build_events_ms"":508.516276,""build_ranks_ms"":674.679338,""build_y_domain_ms"":163.316182,""phase1_count_and_cache_ms"":30130.695175,""phase2_alias_ms"":55.264676,""phase2_fill_ms"":30.318323,""run_build_ms"":1439.072369,""run_count_ms"":30130.701273,""run_sample_ms"":167.870361}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a10000_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/F_high_alpha_F0/F_high_alpha_F0__F0__n1000000__a10000__t1000000__ours__adaptive__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a10000_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":10000,""alpha_achieved"":10026.8,""notes"":""alacarte-local alpha_expected_est=10039.5 coverage=4694.39 pair_p_est=0.0200789 alpha_hat_est=10026.8 epsilon_alpha=0.002675 audit_pairs=2000000""}"
d2_F0_n1000000_a10000_gs1,ours,sampling,0,1,1000000,1000000,1000000,1,11579.2,2.00832e+10,1,nan,nan,nan,0,0,0,,0,"{""build_active_indices_ms"":244.135363,""build_events_ms"":424.931154,""build_ranks_ms"":665.875945,""build_y_domain_ms"":167.868106,""phase1_count_ms"":5657.182540,""phase2_plan_ms"":159.195704,""phase3_sample_ms"":4226.789729,""run_build_ms"":1535.826086,""run_count_ms"":5657.187250,""run_sample_ms"":4386.174262}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a10000_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":1000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/F_high_alpha_F0/F_high_alpha_F0__F0__n1000000__a10000__t1000000__ours__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a10000_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":10000,""alpha_achieved"":10026.8,""notes"":""alacarte-local alpha_expected_est=10039.5 coverage=4694.39 pair_p_est=0.0200789 alpha_hat_est=10026.8 epsilon_alpha=0.002675 audit_pairs=2000000""}"
d2_F0_n1000000_a10000_gs1,ours,sampling,1,2,1000000,1000000,1000000,1,12837.5,2.00832e+10,1,nan,nan,nan,0,0,0,,0,"{""build_active_indices_ms"":52.926824,""build_events_ms"":678.084028,""build_ranks_ms"":661.525108,""build_y_domain_ms"":163.292654,""phase1_count_ms"":5624.444266,""phase2_plan_ms"":148.851856,""phase3_sample_ms"":4237.074116,""run_build_ms"":1573.005118,""run_count_ms"":5624.448385,""run_sample_ms"":4388.976603}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a10000_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":1000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/F_high_alpha_F0/F_high_alpha_F0__F0__n1000000__a10000__t1000000__ours__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a10000_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":10000,""alpha_achieved"":10026.8,""notes"":""alacarte-local alpha_expected_est=10039.5 coverage=4694.39 pair_p_est=0.0200789 alpha_hat_est=10026.8 epsilon_alpha=0.002675 audit_pairs=2000000""}"
d2_F0_n1000000_a10000_gs1,ours,sampling,2,3,1000000,1000000,1000000,1,12870,2.00832e+10,1,nan,nan,nan,0,0,0,,0,"{""build_active_indices_ms"":53.011063,""build_events_ms"":679.004903,""build_ranks_ms"":673.024904,""build_y_domain_ms"":163.338079,""phase1_count_ms"":5632.677721,""phase2_plan_ms"":147.178451,""phase3_sample_ms"":4249.263172,""run_build_ms"":1585.562439,""run_count_ms"":5632.682381,""run_sample_ms"":4399.420058}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a10000_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":1000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/F_high_alpha_F0/F_high_alpha_F0__F0__n1000000__a10000__t1000000__ours__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a10000_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":10000,""alpha_achieved"":10026.8,""notes"":""alacarte-local alpha_expected_est=10039.5 coverage=4694.39 pair_p_est=0.0200789 alpha_hat_est=10026.8 epsilon_alpha=0.002675 audit_pairs=2000000""}"
d2_F0_n1000000_a10000_gs1,range_tree,adaptive,0,1,1000000,1000000,1000000,1,81111.9,2.00832e+10,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_ms"":1473.053738,""build_events_ms"":424.566776,""build_range_trees_ms"":603.810017,""build_rank_arrays_ms"":380.811473,""build_start_index_ms"":59.350241,""phase1_count_and_cache_ms"":79465.268738,""phase2_alias_ms"":65.750062,""phase2_fill_ms"":27.247455,""run_build_ms"":1473.054928,""run_count_ms"":79465.273928,""run_sample_ms"":173.604396}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a10000_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a10000_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""range_tree"",""variant"":""adaptive"",""t"":1000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/F_high_alpha_F0/F_high_alpha_F0__F0__n1000000__a10000__t1000000__range_tree__adaptive__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a10000_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":10000,""alpha_achieved"":10026.8,""notes"":""alacarte-local alpha_expected_est=10039.5 coverage=4694.39 pair_p_est=0.0200789 alpha_hat_est=10026.8 epsilon_alpha=0.002675 audit_pairs=2000000""}"
