sweep,family,N,alpha,t,j_star,w_small,model,n_repeats,wall_med_ms,wall_mean_ms,wall_cv,run_sample_med_ms,run_sample_mean_ms,run_sample_cv,run_count_med_ms,run_build_med_ms,phase3_fill_residual_med_ms,samples_per_sec_by_sample_med,ns_per_sample_by_sample_med
A_alpha_F0,F0,1000000,0.1,10000000,50000000,512,ours/enum_sampling,3,6294.44,6374.466666666666,0.10684946559552023,33.658415,34.729817,0.05271747649876103,4061.845231,2389.164605,nan,297102522.504402,3.3658415
A_alpha_F0,F0,1000000,0.1,10000000,50000000,512,ours/sampling,3,10299.4,9444.71,0.12835242607736705,2887.432108,3245.9186026666666,0.1689980479078702,3415.411628,2355.778726,nan,3463284.8932772204,288.7432108
A_alpha_F0,F0,1000000,0.1,10000000,50000000,512,ours/adaptive,3,7652.05,7725.953333333333,0.16896979099883164,1221.083432,1225.1496816666665,0.01938905256563528,3396.656444,2501.431067,nan,8189448.597808836,122.1083432
A_alpha_F0,F0,1000000,0.1,10000000,50000000,512,range_tree/enum_sampling,3,30410.6,30779.466666666667,0.0182451189678571,36.783439,37.32085766666667,0.024780631644676445,30373.803659,0.00084,nan,271861475.4862915,3.6783439
A_alpha_F0,F0,1000000,0.1,10000000,50000000,512,range_tree/sampling,3,53319.0,53593.8,0.01423276198437515,22987.6922,22956.637318333334,0.01021072890123377,29222.973979,1108.348803,nan,435015.3948903144,2298.76922
A_alpha_F0,F0,1000000,0.1,10000000,50000000,512,range_tree/adaptive,3,31482.9,31560.36666666667,0.004424166726808149,1157.515592,1160.146035,0.004509197553863274,29165.257316,1119.392129,nan,8639192.481823606,115.7515592
A_alpha_F0,F0,1000000,0.1,10000000,50000000,512,kd_tree/sampling,3,2050.63,2053.3033333333333,0.010439228153189702,1324.562817,1322.0641823333333,0.0107665644624833,531.116827,197.119608,nan,7549660.81763414,132.4562817
A_alpha_F0,F0,1000000,0.3,10000000,50000000,512,ours/enum_sampling,3,6331.7,5893.123333333333,0.1115873960593775,35.980791,36.06448133333333,0.01938552352200316,3485.212782,2334.461696,nan,277926074.4990292,3.5980791
A_alpha_F0,F0,1000000,0.3,10000000,50000000,512,ours/sampling,3,9593.4,9118.913333333334,0.07394854390207709,3200.852448,3210.257854666667,0.004407844451648592,3515.499229,2371.141719,nan,3124167.752952291,320.0852448
A_alpha_F0,F0,1000000,0.3,10000000,50000000,512,ours/adaptive,3,7598.1,7165.093333333333,0.08752362785015405,1261.514204,1281.8769896666668,0.02564501254565069,3471.356935,2368.633971,nan,7926981.692550169,126.1514204
A_alpha_F0,F0,1000000,0.3,10000000,50000000,512,range_tree/enum_sampling,3,30723.8,31127.366666666665,0.01891064090840358,41.60881,41.561626333333336,0.011844803094474447,30682.886809,0.0006,nan,240333717.78717056,4.160881
A_alpha_F0,F0,1000000,0.3,10000000,50000000,512,range_tree/sampling,3,54844.7,55249.26666666666,0.013605394773603383,24592.733784,24967.636033666666,0.024115702881090644,29121.863398,1130.125851,nan,406624.1715065442,2459.2733784
A_alpha_F0,F0,1000000,0.3,10000000,50000000,512,range_tree/adaptive,3,32567.7,32666.433333333334,0.00437436953662308,1185.604438,1182.1274876666666,0.00514700235684286,30273.346519,1120.784955,nan,8434516.335708926,118.5604438
A_alpha_F0,F0,1000000,0.3,10000000,50000000,512,kd_tree/sampling,3,2389.72,2393.9366666666665,0.004870397629217598,1622.160859,1621.723498,0.0042526752466871985,573.797791,197.336515,nan,6164616.74840596,162.2160859
A_alpha_F0,F0,1000000,1.0,10000000,50000000,512,ours/enum_sampling,3,6640.02,6231.786666666667,0.09808865336958524,49.233102,49.85989133333334,0.018514128217207892,3765.195538,2357.76448,nan,203115375.5048788,4.9233102
A_alpha_F0,F0,1000000,1.0,10000000,50000000,512,ours/sampling,3,10466.6,10017.966666666667,0.06401134755546581,3945.106842,3936.9976543333332,0.007045114402178918,3685.013615,2357.708777,nan,2534785.596562051,394.5106842
A_alpha_F0,F0,1000000,1.0,10000000,50000000,512,ours/adaptive,3,8091.53,7620.213333333333,0.08778506801964195,1345.488545,1338.5782159999999,0.011848615541103846,3861.102269,2381.091122,nan,7432244.620113061,134.5488545
A_alpha_F0,F0,1000000,1.0,10000000,50000000,512,range_tree/enum_sampling,3,31677.9,32033.56666666667,0.016444703116393213,56.887807,57.46063066666667,0.07820972640392639,31621.028737,0.00066,nan,175784592.9972305,5.6887807
A_alpha_F0,F0,1000000,1.0,10000000,50000000,512,range_tree/sampling,3,59540.4,59719.0,0.012357480638536299,28817.962558,29184.772830666665,0.02390759436832432,29351.720167,1118.21234,nan,347005.79473214544,2881.7962558
A_alpha_F0,F0,1000000,1.0,10000000,50000000,512,range_tree/adaptive,3,34050.5,34116.26666666667,0.003843348907481305,1255.808561,1254.1909206666667,0.006000084385348975,31647.201431,1139.416094,nan,7962997.156220214,125.5808561
A_alpha_F0,F0,1000000,1.0,10000000,50000000,512,kd_tree/sampling,3,2992.85,2991.8866666666668,0.0023892273287685513,2154.240959,2152.4394813333333,0.0012020885624032288,642.989734,195.559893,nan,4642006.252003493,215.4240959
A_alpha_F0,F0,1000000,3.0,10000000,50000000,512,ours/enum_sampling,3,7253.66,6789.6466666666665,0.09700664058842265,126.412501,129.128801,0.042909977759626794,4266.070282,2369.753658,nan,79106100.43226658,12.6412501
A_alpha_F0,F0,1000000,3.0,10000000,50000000,512,ours/sampling,3,11527.4,11064.166666666666,0.059734965698429544,4648.658469,4652.122851,0.006636248730171771,3994.122106,2388.457321,nan,2151158.2463383586,464.8658469
A_alpha_F0,F0,1000000,3.0,10000000,50000000,512,ours/adaptive,3,8457.51,8037.536666666667,0.07888438201453311,1329.431806,1328.2060293333334,0.005923380969085528,4294.088002,2386.727197,nan,7522010.497167238,132.9431806
A_alpha_F0,F0,1000000,3.0,10000000,50000000,512,range_tree/enum_sampling,3,32899.7,33321.3,0.01968978404961365,126.481217,133.653901,0.08370281690710916,32774.71594,0.00103,nan,79063122.86669411,12.6481217
A_alpha_F0,F0,1000000,3.0,10000000,50000000,512,range_tree/sampling,3,62852.2,62967.0,0.0029345443506093695,32260.710185,32285.557408,0.0016688657615022764,29476.637562,1123.914032,nan,309974.57720721903,3226.0710185
A_alpha_F0,F0,1000000,3.0,10000000,50000000,512,range_tree/adaptive,3,35945.8,36033.066666666666,0.003962581697181489,1245.300247,1247.9232926666666,0.0063996587025898135,33582.180332,1133.648045,nan,8030191.9349093335,124.5300247
A_alpha_F0,F0,1000000,3.0,10000000,50000000,512,kd_tree/sampling,3,3433.48,3428.2599999999998,0.0022866114552675156,2489.120684,2485.7589096666666,0.002776358437232742,747.374675,195.451491,nan,4017482.9867751,248.9120684
A_alpha_F0,F0,1000000,10.0,10000000,50000000,512,ours/enum_sampling,3,8064.49,7624.753333333333,0.08317413988124304,145.605876,146.95617533333333,0.03264683484936234,5025.988703,2409.93965,nan,68678547.01138572,14.5605876
A_alpha_F0,F0,1000000,10.0,10000000,50000000,512,ours/sampling,3,12230.4,11786.266666666666,0.05449506928261737,5043.223594,5054.102143,0.003330974412209487,4305.063317,2379.65025,nan,1982858.7437402443,504.3223594
