dataset,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
,kd_tree,sampling,0,1,1000000,1000000,100000,1,854.3,199476,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":193.884574,""build_points_ms"":192.486026,""phase1_count_ms"":571.527010,""phase2_plan_ms"":6.601627,""phase3_fill_ms"":82.128733,""run_build_ms"":193.888944,""run_count_ms"":571.531490,""run_sample_ms"":88.877528}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":1000000,""n_s"":1000000,""alpha"":0.1,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a0p1__t100000__kd_tree__sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-rectgen alpha_expected_est=0.0994701 coverage=0.0470126 pair_p_est=1.9894e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
,kd_tree,sampling,1,2,1000000,1000000,100000,1,914.772,199476,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":193.068516,""build_points_ms"":192.886659,""phase1_count_ms"":619.226577,""phase2_plan_ms"":6.416751,""phase3_fill_ms"":96.025586,""run_build_ms"":193.069597,""run_count_ms"":619.230898,""run_sample_ms"":102.468116}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":1000000,""n_s"":1000000,""alpha"":0.1,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a0p1__t100000__kd_tree__sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-rectgen alpha_expected_est=0.0994701 coverage=0.0470126 pair_p_est=1.9894e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
,kd_tree,sampling,2,3,1000000,1000000,100000,1,834.567,199476,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":195.055085,""build_points_ms"":191.568409,""phase1_count_ms"":546.162885,""phase2_plan_ms"":6.202384,""phase3_fill_ms"":87.119075,""run_build_ms"":195.057315,""run_count_ms"":546.165505,""run_sample_ms"":93.340818}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":1000000,""n_s"":1000000,""alpha"":0.1,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a0p1__t100000__kd_tree__sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-rectgen alpha_expected_est=0.0994701 coverage=0.0470126 pair_p_est=1.9894e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
,ours,adaptive,0,1,1000000,1000000,100000,1,5271.44,199476,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":251.864292,""build_events_ms"":416.327454,""build_ranks_ms"":655.867588,""build_y_domain_ms"":167.078580,""phase1_count_and_cache_ms"":3628.036926,""phase2_alias_ms"":56.842445,""phase2_fill_ms"":7.650151,""run_build_ms"":1569.367308,""run_count_ms"":3628.042586,""run_sample_ms"":74.019468}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":1000000,""n_s"":1000000,""alpha"":0.1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a0p1__t100000__ours__adaptive"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-rectgen alpha_expected_est=0.0994701 coverage=0.0470126 pair_p_est=1.9894e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
,ours,adaptive,1,2,1000000,1000000,100000,1,6431.3,199476,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":46.131353,""build_events_ms"":1555.219217,""build_ranks_ms"":628.964366,""build_y_domain_ms"":162.661940,""phase1_count_and_cache_ms"":3395.982785,""phase2_alias_ms"":52.625861,""phase2_fill_ms"":7.564823,""run_build_ms"":2434.806206,""run_count_ms"":3395.987415,""run_sample_ms"":67.429741}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":1000000,""n_s"":1000000,""alpha"":0.1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a0p1__t100000__ours__adaptive"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-rectgen alpha_expected_est=0.0994701 coverage=0.0470126 pair_p_est=1.9894e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
,ours,adaptive,2,3,1000000,1000000,100000,1,6399.35,199476,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":46.805102,""build_events_ms"":1521.071350,""build_ranks_ms"":629.705215,""build_y_domain_ms"":162.582481,""phase1_count_and_cache_ms"":3416.126772,""phase2_alias_ms"":50.935257,""phase2_fill_ms"":7.618621,""run_build_ms"":2402.122235,""run_count_ms"":3416.131302,""run_sample_ms"":65.286164}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":1000000,""n_s"":1000000,""alpha"":0.1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a0p1__t100000__ours__adaptive"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-rectgen alpha_expected_est=0.0994701 coverage=0.0470126 pair_p_est=1.9894e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
,ours,enum_sampling,0,1,1000000,1000000,100000,1,5000.94,199476,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":246.930659,""build_events_ms"":428.158840,""build_ranks_ms"":631.327329,""build_y_domain_ms"":166.782506,""phase1_enumerate_materialize_ms"":3503.339056,""phase2_resample_ms"":1.265481,""run_build_ms"":1496.322474,""run_count_ms"":3503.344836,""run_sample_ms"":1.266270}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":1000000,""n_s"":1000000,""alpha"":0.1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a0p1__t100000__ours__enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-rectgen alpha_expected_est=0.0994701 coverage=0.0470126 pair_p_est=1.9894e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
,ours,enum_sampling,1,2,1000000,1000000,100000,1,6342.87,199476,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":46.242970,""build_events_ms"":1536.481350,""build_ranks_ms"":629.048786,""build_y_domain_ms"":162.725818,""phase1_enumerate_materialize_ms"":3432.718284,""phase2_resample_ms"":0.789778,""run_build_ms"":2391.289183,""run_count_ms"":3432.722933,""run_sample_ms"":0.790998}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":1000000,""n_s"":1000000,""alpha"":0.1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a0p1__t100000__ours__enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-rectgen alpha_expected_est=0.0994701 coverage=0.0470126 pair_p_est=1.9894e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
,ours,enum_sampling,2,3,1000000,1000000,100000,1,6300.41,199476,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":46.133062,""build_events_ms"":1526.296028,""build_ranks_ms"":621.671050,""build_y_domain_ms"":162.856587,""phase1_enumerate_materialize_ms"":3415.131117,""phase2_resample_ms"":0.940045,""run_build_ms"":2373.743316,""run_count_ms"":3415.135697,""run_sample_ms"":0.940875}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":1000000,""n_s"":1000000,""alpha"":0.1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a0p1__t100000__ours__enum_sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-rectgen alpha_expected_est=0.0994701 coverage=0.0470126 pair_p_est=1.9894e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
,ours,sampling,0,1,1000000,1000000,100000,1,7133.52,199476,1,nan,nan,nan,0,0,0,,0,"{""build_active_indices_ms"":242.493409,""build_events_ms"":417.904500,""build_ranks_ms"":636.815604,""build_y_domain_ms"":166.584119,""phase1_count_ms"":3540.793552,""phase2_plan_ms"":101.300714,""phase3_sample_ms"":1991.610290,""run_build_ms"":1499.774551,""run_count_ms"":3540.797942,""run_sample_ms"":2092.946054}",,"{""dataset"":{""source"":""synthetic"",""name"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""dim"":2,""path_r"":"""",""path_s"":"""",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":1000000,""n_s"":1000000,""alpha"":0.1,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":100000,""seed"":1,""repeats"":3,""j_star"":10000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_synth_d2/out/A_alpha/A_alpha__n1000000__a0p1__t100000__ours__sampling"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_alacarte_rectgen_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-rectgen alpha_expected_est=0.0994701 coverage=0.0470126 pair_p_est=1.9894e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
