dataset,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
d2_F0_n1000000_a0p1_gs1,kd_tree,sampling,0,1,1000000,1000000,10000000,1,2061.41,198960,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":206.732979,""build_points_ms"":205.487919,""phase1_count_ms"":533.853271,""phase2_plan_ms"":916.021451,""phase3_fill_ms"":390.241545,""run_build_ms"":206.739849,""run_count_ms"":533.856321,""run_sample_ms"":1320.815330}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a0p1_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/A_alpha_F0/A_alpha_F0__F0__n1000000__a0p1__t10000000__kd_tree__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-local alpha_expected_est=0.100022 coverage=0.05 pair_p_est=2.00045e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
d2_F0_n1000000_a0p1_gs1,kd_tree,sampling,1,2,1000000,1000000,10000000,1,2046.23,198960,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":193.821790,""build_points_ms"":193.552691,""phase1_count_ms"":529.408110,""phase2_plan_ms"":917.395576,""phase3_fill_ms"":390.315991,""run_build_ms"":193.822770,""run_count_ms"":529.410380,""run_sample_ms"":1322.993311}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a0p1_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/A_alpha_F0/A_alpha_F0__F0__n1000000__a0p1__t10000000__kd_tree__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-local alpha_expected_est=0.100022 coverage=0.05 pair_p_est=2.00045e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
d2_F0_n1000000_a0p1_gs1,kd_tree,sampling,2,3,1000000,1000000,10000000,1,2083.78,198960,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":194.879128,""build_points_ms"":194.609558,""phase1_count_ms"":526.297895,""phase2_plan_ms"":954.142484,""phase3_fill_ms"":390.791443,""run_build_ms"":194.880357,""run_count_ms"":526.301115,""run_sample_ms"":1362.591855}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a0p1_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/A_alpha_F0/A_alpha_F0__F0__n1000000__a0p1__t10000000__kd_tree__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-local alpha_expected_est=0.100022 coverage=0.05 pair_p_est=2.00045e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
d2_F0_n1000000_a0p1_gs1,ours,adaptive,0,1,1000000,1000000,10000000,1,6188.59,198960,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":255.028560,""build_events_ms"":403.324778,""build_ranks_ms"":632.315148,""build_y_domain_ms"":167.728573,""phase1_count_and_cache_ms"":3367.854258,""phase2_alias_ms"":93.196949,""phase2_fill_ms"":158.999935,""run_build_ms"":1529.341586,""run_count_ms"":3367.859868,""run_sample_ms"":1291.381357}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a0p1_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/A_alpha_F0/A_alpha_F0__F0__n1000000__a0p1__t10000000__ours__adaptive__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-local alpha_expected_est=0.100022 coverage=0.05 pair_p_est=2.00045e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
d2_F0_n1000000_a0p1_gs1,ours,adaptive,1,2,1000000,1000000,10000000,1,7454.92,198960,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":53.777781,""build_events_ms"":1495.572879,""build_ranks_ms"":622.997394,""build_y_domain_ms"":167.748062,""phase1_count_and_cache_ms"":3365.251113,""phase2_alias_ms"":52.151225,""phase2_fill_ms"":152.044586,""run_build_ms"":2381.192597,""run_count_ms"":3365.256723,""run_sample_ms"":1204.140517}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a0p1_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/A_alpha_F0/A_alpha_F0__F0__n1000000__a0p1__t10000000__ours__adaptive__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-local alpha_expected_est=0.100022 coverage=0.05 pair_p_est=2.00045e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
d2_F0_n1000000_a0p1_gs1,ours,adaptive,2,3,1000000,1000000,10000000,1,7384.92,198960,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":53.894696,""build_events_ms"":1469.595487,""build_ranks_ms"":623.036183,""build_y_domain_ms"":167.433454,""phase1_count_and_cache_ms"":3349.842634,""phase2_alias_ms"":51.186065,""phase2_fill_ms"":146.452590,""run_build_ms"":2355.210675,""run_count_ms"":3349.848074,""run_sample_ms"":1172.888728}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a0p1_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/A_alpha_F0/A_alpha_F0__F0__n1000000__a0p1__t10000000__ours__adaptive__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-local alpha_expected_est=0.100022 coverage=0.05 pair_p_est=2.00045e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
d2_F0_n1000000_a0p1_gs1,ours,enum_sampling,0,1,1000000,1000000,10000000,1,4893.58,198960,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":257.141645,""build_events_ms"":424.955524,""build_ranks_ms"":639.354164,""build_y_domain_ms"":167.725422,""phase1_enumerate_materialize_ms"":3342.128296,""phase2_resample_ms"":39.596252,""run_build_ms"":1511.847132,""run_count_ms"":3342.132496,""run_sample_ms"":39.600502}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a0p1_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/A_alpha_F0/A_alpha_F0__F0__n1000000__a0p1__t10000000__ours__enum_sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-local alpha_expected_est=0.100022 coverage=0.05 pair_p_est=2.00045e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
d2_F0_n1000000_a0p1_gs1,ours,enum_sampling,1,2,1000000,1000000,10000000,1,6248.27,198960,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":54.006891,""build_events_ms"":1478.246038,""build_ranks_ms"":628.943955,""build_y_domain_ms"":163.541402,""phase1_enumerate_materialize_ms"":3343.803909,""phase2_resample_ms"":65.667960,""run_build_ms"":2345.399191,""run_count_ms"":3343.807669,""run_sample_ms"":65.671010}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a0p1_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/A_alpha_F0/A_alpha_F0__F0__n1000000__a0p1__t10000000__ours__enum_sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-local alpha_expected_est=0.100022 coverage=0.05 pair_p_est=2.00045e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
d2_F0_n1000000_a0p1_gs1,ours,enum_sampling,2,3,1000000,1000000,10000000,1,6241.74,198960,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":53.857167,""build_events_ms"":1481.283775,""build_ranks_ms"":633.119326,""build_y_domain_ms"":163.524602,""phase1_enumerate_materialize_ms"":3349.019879,""phase2_resample_ms"":46.794011,""run_build_ms"":2348.358712,""run_count_ms"":3349.024029,""run_sample_ms"":46.799261}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a0p1_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/A_alpha_F0/A_alpha_F0__F0__n1000000__a0p1__t10000000__ours__enum_sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-local alpha_expected_est=0.100022 coverage=0.05 pair_p_est=2.00045e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
d2_F0_n1000000_a0p1_gs1,ours,sampling,0,1,1000000,1000000,10000000,1,7665.73,198960,1,nan,nan,nan,0,0,0,,0,"{""build_active_indices_ms"":211.324504,""build_events_ms"":403.788908,""build_ranks_ms"":653.944885,""build_y_domain_ms"":180.160521,""phase1_count_ms"":3412.400732,""phase2_plan_ms"":698.607263,""phase3_sample_ms"":2060.041044,""run_build_ms"":1480.294635,""run_count_ms"":3412.406101,""run_sample_ms"":2773.021208}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a0p1_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_R.bin"",""path_s"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a0p1_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":10000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/SJS-2D-RUN-26.2.26/run/temp/exp2_sjs_adv_d2/out/A_alpha_F0/A_alpha_F0__F0__n1000000__a0p1__t10000000__ours__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a0p1_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":0.1,""alpha_achieved"":0.25,""notes"":""alacarte-local alpha_expected_est=0.100022 coverage=0.05 pair_p_est=2.00045e-07 alpha_hat_est=0.25 epsilon_alpha=1.5 audit_pairs=2000000""}"
