dataset,method,variant,rep,seed,n_r,n_s,t,ok,wall_ms,count_value,count_exact,count_stderr,count_ci_low,count_ci_high,used_enumeration,enum_truncated,enum_cap,adaptive_branch,adaptive_pilot_pairs,phases_json,note,config_json,gen_report_json
d2_F0_n1000000_a200_gs1,kd_tree,sampling,0,1,1000000,1000000,1000000000,1,156823,3.96399e+08,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":198.113220,""build_points_ms"":196.261105,""phase1_count_ms"":3071.910718,""phase2_plan_ms"":110281.238867,""phase3_fill_ms"":41780.592087,""run_build_ms"":198.120860,""run_count_ms"":3071.914388,""run_sample_ms"":153553.308683}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":1000000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/C_t_F0/C_t_F0__F0__n1000000__a200__t1000000000__kd_tree__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":207.75,""notes"":""alacarte-local alpha_expected_est=198.162 coverage=98.1068 pair_p_est=0.000396323 alpha_hat_est=207.75 epsilon_alpha=0.03875 audit_pairs=2000000""}"
d2_F0_n1000000_a200_gs1,kd_tree,sampling,1,2,1000000,1000000,1000000000,1,156759,3.96399e+08,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":196.489226,""build_points_ms"":196.219414,""phase1_count_ms"":3413.461655,""phase2_plan_ms"":109963.578431,""phase3_fill_ms"":41700.176224,""run_build_ms"":196.490675,""run_count_ms"":3413.466295,""run_sample_ms"":153148.789905}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":1000000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/C_t_F0/C_t_F0__F0__n1000000__a200__t1000000000__kd_tree__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":207.75,""notes"":""alacarte-local alpha_expected_est=198.162 coverage=98.1068 pair_p_est=0.000396323 alpha_hat_est=207.75 epsilon_alpha=0.03875 audit_pairs=2000000""}"
d2_F0_n1000000_a200_gs1,kd_tree,sampling,2,3,1000000,1000000,1000000000,1,157956,3.96399e+08,1,nan,nan,nan,0,0,0,,0,"{""build_ms"":196.622865,""build_points_ms"":196.352733,""phase1_count_ms"":3232.236908,""phase2_plan_ms"":111215.882832,""phase3_fill_ms"":41788.990332,""run_build_ms"":196.623796,""run_count_ms"":3232.239629,""run_sample_ms"":154527.511148}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""kd_tree"",""variant"":""sampling"",""t"":1000000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/C_t_F0/C_t_F0__F0__n1000000__a200__t1000000000__kd_tree__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":207.75,""notes"":""alacarte-local alpha_expected_est=198.162 coverage=98.1068 pair_p_est=0.000396323 alpha_hat_est=207.75 epsilon_alpha=0.03875 audit_pairs=2000000""}"
d2_F0_n1000000_a200_gs1,ours,adaptive,0,1,1000000,1000000,1000000000,1,186118,3.96399e+08,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":243.670840,""build_events_ms"":417.393417,""build_ranks_ms"":680.129497,""build_y_domain_ms"":167.713471,""phase1_count_and_cache_ms"":5102.927358,""phase2_alias_ms"":66.366585,""phase2_fill_ms"":11718.895718,""phase3_fill_residual_ms"":26836.611246,""run_build_ms"":1583.207629,""run_count_ms"":5102.933148,""run_sample_ms"":179432.129268}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/C_t_F0/C_t_F0__F0__n1000000__a200__t1000000000__ours__adaptive__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":207.75,""notes"":""alacarte-local alpha_expected_est=198.162 coverage=98.1068 pair_p_est=0.000396323 alpha_hat_est=207.75 epsilon_alpha=0.03875 audit_pairs=2000000""}"
d2_F0_n1000000_a200_gs1,ours,adaptive,1,2,1000000,1000000,1000000000,1,187584,3.96399e+08,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":53.523415,""build_events_ms"":673.425504,""build_ranks_ms"":676.144499,""build_y_domain_ms"":163.208113,""phase1_count_and_cache_ms"":4975.877202,""phase2_alias_ms"":67.147543,""phase2_fill_ms"":11717.739283,""phase3_fill_residual_ms"":26836.248872,""run_build_ms"":1607.294891,""run_count_ms"":4975.882002,""run_sample_ms"":179742.993792}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/C_t_F0/C_t_F0__F0__n1000000__a200__t1000000000__ours__adaptive__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":207.75,""notes"":""alacarte-local alpha_expected_est=198.162 coverage=98.1068 pair_p_est=0.000396323 alpha_hat_est=207.75 epsilon_alpha=0.03875 audit_pairs=2000000""}"
d2_F0_n1000000_a200_gs1,ours,adaptive,2,3,1000000,1000000,1000000000,1,187192,3.96399e+08,1,nan,nan,nan,0,0,0,framework_III,0,"{""build_active_indices_ms"":53.491394,""build_events_ms"":674.476486,""build_ranks_ms"":675.914762,""build_y_domain_ms"":163.256043,""phase1_count_and_cache_ms"":4985.288177,""phase2_alias_ms"":67.705132,""phase2_fill_ms"":11739.505536,""phase3_fill_residual_ms"":26853.870904,""run_build_ms"":1607.885440,""run_count_ms"":4985.292487,""run_sample_ms"":179335.955697}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""adaptive"",""t"":1000000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/C_t_F0/C_t_F0__F0__n1000000__a200__t1000000000__ours__adaptive__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":207.75,""notes"":""alacarte-local alpha_expected_est=198.162 coverage=98.1068 pair_p_est=0.000396323 alpha_hat_est=207.75 epsilon_alpha=0.03875 audit_pairs=2000000""}"
d2_F0_n1000000_a200_gs1,ours,enum_sampling,0,1,1000000,1000000,1000000000,1,29096,3.96399e+08,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":243.476208,""build_events_ms"":418.335643,""build_ranks_ms"":677.997599,""build_y_domain_ms"":168.036534,""phase1_enumerate_materialize_ms"":12057.302423,""phase2_resample_ms"":15506.979220,""run_build_ms"":1531.685428,""run_count_ms"":12057.308192,""run_sample_ms"":15506.985219}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":1000000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/C_t_F0/C_t_F0__F0__n1000000__a200__t1000000000__ours__enum_sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":207.75,""notes"":""alacarte-local alpha_expected_est=198.162 coverage=98.1068 pair_p_est=0.000396323 alpha_hat_est=207.75 epsilon_alpha=0.03875 audit_pairs=2000000""}"
d2_F0_n1000000_a200_gs1,ours,enum_sampling,1,2,1000000,1000000,1000000000,1,28618.4,3.96399e+08,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":53.017993,""build_events_ms"":668.628298,""build_ranks_ms"":686.897001,""build_y_domain_ms"":163.322893,""phase1_enumerate_materialize_ms"":10196.352800,""phase2_resample_ms"":15574.456629,""run_build_ms"":1588.128142,""run_count_ms"":10196.358760,""run_sample_ms"":15574.462859}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":1000000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/C_t_F0/C_t_F0__F0__n1000000__a200__t1000000000__ours__enum_sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":207.75,""notes"":""alacarte-local alpha_expected_est=198.162 coverage=98.1068 pair_p_est=0.000396323 alpha_hat_est=207.75 epsilon_alpha=0.03875 audit_pairs=2000000""}"
d2_F0_n1000000_a200_gs1,ours,enum_sampling,2,3,1000000,1000000,1000000000,1,36363.6,3.96399e+08,1,nan,nan,nan,1,0,0,,0,"{""build_active_indices_ms"":52.988632,""build_events_ms"":680.401359,""build_ranks_ms"":672.983931,""build_y_domain_ms"":170.776057,""phase1_enumerate_materialize_ms"":10236.149515,""phase2_resample_ms"":23267.785224,""run_build_ms"":1593.390967,""run_count_ms"":10236.154875,""run_sample_ms"":23267.826544}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""enum_sampling"",""t"":1000000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/C_t_F0/C_t_F0__F0__n1000000__a200__t1000000000__ours__enum_sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":207.75,""notes"":""alacarte-local alpha_expected_est=198.162 coverage=98.1068 pair_p_est=0.000396323 alpha_hat_est=207.75 epsilon_alpha=0.03875 audit_pairs=2000000""}"
d2_F0_n1000000_a200_gs1,ours,sampling,0,1,1000000,1000000,1000000000,1,121705,3.96399e+08,1,nan,nan,nan,0,0,0,,0,"{""build_active_indices_ms"":244.477428,""build_events_ms"":417.618259,""build_ranks_ms"":679.547774,""build_y_domain_ms"":168.082987,""phase1_count_ms"":4822.977747,""phase2_plan_ms"":83699.147217,""phase3_sample_ms"":30219.375822,""run_build_ms"":1543.449443,""run_count_ms"":4822.981297,""run_sample_ms"":115338.864503}",,"{""dataset"":{""source"":""binary"",""name"":""d2_F0_n1000000_a200_gs1"",""dim"":2,""path_r"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_R.bin"",""path_s"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/datasets/F0/d2_F0_n1000000_a200_gs1_S.bin"",""synthetic"":{""generator"":""alacarte_rectgen"",""n_r"":100000,""n_s"":100000,""alpha"":1e-06,""seed"":1}},""run"":{""method"":""ours"",""variant"":""sampling"",""t"":1000000000,""seed"":1,""repeats"":3,""j_star"":50000000,""enum_cap"":0,""write_samples"":false,""verify"":false},""output"":{""out_dir"":""/home/dhy/PhD/Comp-26.2.23/Join-Sampling-2D/run/temp/exp2_sjs_adv_d2/out/C_t_F0/C_t_F0__F0__n1000000__a200__t1000000000__ours__sampling__B50000000__w512"",""run_tag"":""""},""sys"":{""threads"":1},""logging"":{""level"":""INFO"",""with_timestamp"":true,""with_thread_id"":false}}","{""generator"":""alacarte_rectgen"",""dataset"":""d2_F0_n1000000_a200_gs1"",""n_r"":1000000,""n_s"":1000000,""has_exact_k"":false,""k_target"":0,""k_achieved"":0,""alpha_target"":200,""alpha_achieved"":207.75,""notes"":""alacarte-local alpha_expected_est=198.162 coverage=98.1068 pair_p_est=0.000396323 alpha_hat_est=207.75 epsilon_alpha=0.03875 audit_pairs=2000000""}"
