# task_id	sweep	family	N	alpha	t	method	variant	j_star	w_small
C_t_F0__F0__n1000000__a200__t30000000__ours__enum_sampling__B50000000__w512	C_t_F0	F0	1000000	200	30000000	ours	enum_sampling	50000000	512
C_t_F0__F0__n1000000__a200__t30000000__ours__sampling__B50000000__w512	C_t_F0	F0	1000000	200	30000000	ours	sampling	50000000	512
C_t_F0__F0__n1000000__a200__t30000000__ours__adaptive__B50000000__w512	C_t_F0	F0	1000000	200	30000000	ours	adaptive	50000000	512
C_t_F0__F0__n1000000__a200__t30000000__range_tree__enum_sampling__B50000000__w512	C_t_F0	F0	1000000	200	30000000	range_tree	enum_sampling	50000000	512
C_t_F0__F0__n1000000__a200__t30000000__range_tree__sampling__B50000000__w512	C_t_F0	F0	1000000	200	30000000	range_tree	sampling	50000000	512
C_t_F0__F0__n1000000__a200__t30000000__range_tree__adaptive__B50000000__w512	C_t_F0	F0	1000000	200	30000000	range_tree	adaptive	50000000	512
C_t_F0__F0__n1000000__a200__t30000000__kd_tree__sampling__B50000000__w512	C_t_F0	F0	1000000	200	30000000	kd_tree	sampling	50000000	512
C_t_F0__F0__n1000000__a200__t100000000__ours__enum_sampling__B50000000__w512	C_t_F0	F0	1000000	200	100000000	ours	enum_sampling	50000000	512
C_t_F0__F0__n1000000__a200__t100000000__ours__sampling__B50000000__w512	C_t_F0	F0	1000000	200	100000000	ours	sampling	50000000	512
C_t_F0__F0__n1000000__a200__t100000000__ours__adaptive__B50000000__w512	C_t_F0	F0	1000000	200	100000000	ours	adaptive	50000000	512
C_t_F0__F0__n1000000__a200__t100000000__range_tree__enum_sampling__B50000000__w512	C_t_F0	F0	1000000	200	100000000	range_tree	enum_sampling	50000000	512
C_t_F0__F0__n1000000__a200__t100000000__range_tree__sampling__B50000000__w512	C_t_F0	F0	1000000	200	100000000	range_tree	sampling	50000000	512
C_t_F0__F0__n1000000__a200__t100000000__range_tree__adaptive__B50000000__w512	C_t_F0	F0	1000000	200	100000000	range_tree	adaptive	50000000	512
C_t_F0__F0__n1000000__a200__t100000000__kd_tree__sampling__B50000000__w512	C_t_F0	F0	1000000	200	100000000	kd_tree	sampling	50000000	512
C_t_F0__F0__n1000000__a200__t300000000__ours__enum_sampling__B50000000__w512	C_t_F0	F0	1000000	200	300000000	ours	enum_sampling	50000000	512
C_t_F0__F0__n1000000__a200__t300000000__ours__sampling__B50000000__w512	C_t_F0	F0	1000000	200	300000000	ours	sampling	50000000	512
C_t_F0__F0__n1000000__a200__t300000000__ours__adaptive__B50000000__w512	C_t_F0	F0	1000000	200	300000000	ours	adaptive	50000000	512
C_t_F0__F0__n1000000__a200__t300000000__range_tree__enum_sampling__B50000000__w512	C_t_F0	F0	1000000	200	300000000	range_tree	enum_sampling	50000000	512
C_t_F0__F0__n1000000__a200__t300000000__range_tree__sampling__B50000000__w512	C_t_F0	F0	1000000	200	300000000	range_tree	sampling	50000000	512
C_t_F0__F0__n1000000__a200__t300000000__range_tree__adaptive__B50000000__w512	C_t_F0	F0	1000000	200	300000000	range_tree	adaptive	50000000	512
C_t_F0__F0__n1000000__a200__t300000000__kd_tree__sampling__B50000000__w512	C_t_F0	F0	1000000	200	300000000	kd_tree	sampling	50000000	512
C_t_F0__F0__n1000000__a200__t1000000000__ours__enum_sampling__B50000000__w512	C_t_F0	F0	1000000	200	1000000000	ours	enum_sampling	50000000	512
C_t_F0__F0__n1000000__a200__t1000000000__ours__sampling__B50000000__w512	C_t_F0	F0	1000000	200	1000000000	ours	sampling	50000000	512
C_t_F0__F0__n1000000__a200__t1000000000__ours__adaptive__B50000000__w512	C_t_F0	F0	1000000	200	1000000000	ours	adaptive	50000000	512
C_t_F0__F0__n1000000__a200__t1000000000__range_tree__enum_sampling__B50000000__w512	C_t_F0	F0	1000000	200	1000000000	range_tree	enum_sampling	50000000	512
C_t_F0__F0__n1000000__a200__t1000000000__range_tree__sampling__B50000000__w512	C_t_F0	F0	1000000	200	1000000000	range_tree	sampling	50000000	512
C_t_F0__F0__n1000000__a200__t1000000000__range_tree__adaptive__B50000000__w512	C_t_F0	F0	1000000	200	1000000000	range_tree	adaptive	50000000	512
C_t_F0__F0__n1000000__a200__t1000000000__kd_tree__sampling__B50000000__w512	C_t_F0	F0	1000000	200	1000000000	kd_tree	sampling	50000000	512
